,cleaned_body,pos_score,neu_score,neg_score,compound_score,rating,cs_scaled,sentiment
3,discovered upon boarding four year old allocated different seat apart although bought ticket time booking reference checked together airasia split u shocked tried speak flight attendant lovely enough say absurd split family much passenger already paid selecting seat swap seat four year old upset cry able see seated separately time long planned father trip wondering implication safety case emergency think separately seated parent like would ignore evacuation procedure desperate attempt child think little child need seat adjacent seat accompanying family member seating apart four year old left bitter taste mouth needle say happy situation,0.113,0.726,0.161,-0.5267,0.1,0.2292394109609838,negative
7,good choose airasia flight le hour distance seat space leg small put bag seat reluctantly leg cannot move hard straighten leg throughout journey flight hour inconvenient passenger seat inside wanted go toilet hard go seat need annoy passenger seated middle near walkway,0.114,0.747,0.139,-0.2978,0.4,0.3450736298770305,negative
19,seat dirty torn inflight entertainment food served disgrace eaten anyone near pocket magazine etc facing torn away hanging thread plane hour half late never apology explanation accept way finally crew surly disinterested impolite,0.064,0.57,0.366,-0.8815,0.2,0.04969384140478724,negative
29,told china eastern airline disabled double total hip replacement m trip amsterdam bkk enough legspace spasm narrow seat am checked aisle seat ok however way back bkk am asked polite attendant could place forward leg said stay seat couple hour wanted go sleep bit unlucky given seat emercency exit chair placed sleeping position hour straight flying fridge uncomfortable took couple day recover flown many company low segment airline friendly staff case terrible place,0.09,0.814,0.096,-0.128,0.4,0.43100045544253834,negative
33,icn pvg lhr cdg pvg icn sat near lavatory make sound like crash people use lavatory overall service poor,0.103,0.658,0.239,-0.5106,0.1,0.23738677192449772,negative
35,ptv avod poor could watch main screen clip listen poor music,0.0,0.592,0.408,-0.7351,0.3,0.12377916097363496,negative
39,paid premium price fly virgin australia economy brisbane denpasar return july could flown malindo air jetstar ticket cheaper preferred virgin flight time big mistake use aircraft regional flight international flight enough legroom anyone five foot six tall force u taller people upgrade economy extra cost economy seat legroom standard economy international aircraft renamed virgin economy class sardine class economy cattle class anyone fly business class money sense none class value money send u email bid upgrade idea business class extra minimum cost seat reduced legroom economy seat ridiculous width fit economy seat front plane behind business class solution obvious row economy seat increase width economy seat back reduce revenue loss row economy seat happy customer economy economy seating configuration illegal,0.081,0.822,0.097,-0.2584,0.1,0.36501189211072316,negative
44,brisbane dunedin looking forward week unfriendly irritable check agent changed already booked seat number chosen consideration without even telling u surprise shocked friend pay aud single kg bag checked scrunched three hour smallest narrowest miserable airline seat flight attendant got defensive huffy tactfully pointed adult passenger ignoring fasten seatbelt heavy turbulence seatbelt hanging isle basically implied concern watched people hit ceiling turbulence felt interest safety passenger say word unbelted passenger first experience virgin last already booked two flight please tell hour virgin australia flight bne lax day miserable first weigh lb admit remembering flying australia past shameful disappointment,0.127,0.655,0.219,-0.9045,0.2,0.03805475431405295,negative
61,grabbed promotional flight moscow good price deal hence opted buy legroom getting emergency exit seat brussels airline always convenient tall hubby nothing special expected leg room stretch hour flight additional fee reasonable,0.079,0.789,0.132,-0.2401,0.7,0.37427255705682916,negative
63,london milan via brussels economy brussels airline possibly worst company ever flown flight london boarded time issue luggage left min late meaning lost onward connection milan cabin crew first asked passenger leave bulky hand luggage changing mind asking collect store seat hold full found particularly annoying cabin crew help passenger store luggage lady front helped three passenger sort luggage helped would left london time airplane seems ok although seat seemed outdated food water served plane lady sitting next booked food crew forgot serve,0.086,0.803,0.112,-0.3597,0.1,0.3137493041850109,negative
